INFO 2024-08-12 11:29:08,567 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-12 11:29:08,734 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1706593857.2675476
DEBUG 2024-08-12 11:29:08,735 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\mixins.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,735 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\glob.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,735 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\validators.py first seen with mtime 1706593859.4551103
DEBUG 2024-08-12 11:29:08,736 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1706593859.4481075
DEBUG 2024-08-12 11:29:08,736 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1706593858.2857234
DEBUG 2024-08-12 11:29:08,737 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\nturl2path.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,737 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\gettext.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,737 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1706593857.2689002
DEBUG 2024-08-12 11:29:08,738 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\management\base.py first seen with mtime 1706593859.4761386
DEBUG 2024-08-12 11:29:08,738 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1706593859.518885
DEBUG 2024-08-12 11:29:08,739 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1706593858.6884835
DEBUG 2024-08-12 11:29:08,739 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1706593858.2782364
DEBUG 2024-08-12 11:29:08,739 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\apps\config.py first seen with mtime 1706593858.1167626
DEBUG 2024-08-12 11:29:08,740 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1706593859.4953759
DEBUG 2024-08-12 11:29:08,740 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1706593859.475133
DEBUG 2024-08-12 11:29:08,741 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1706593859.5817995
DEBUG 2024-08-12 11:29:08,741 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1706593859.5223699
DEBUG 2024-08-12 11:29:08,742 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\auth\context_processors.py first seen with mtime 1706593858.5918932
DEBUG 2024-08-12 11:29:08,742 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1706593859.4881442
DEBUG 2024-08-12 11:29:08,743 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1706593858.5948935
DEBUG 2024-08-12 11:29:08,743 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1706593859.6182902
DEBUG 2024-08-12 11:29:08,743 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\views\static.py first seen with mtime 1706593859.614291
DEBUG 2024-08-12 11:29:08,744 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1706593859.5878
DEBUG 2024-08-12 11:29:08,744 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1706593857.2675476
DEBUG 2024-08-12 11:29:08,744 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1706593859.6092913
DEBUG 2024-08-12 11:29:08,744 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\linecache.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,744 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,745 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1706593859.6182902
DEBUG 2024-08-12 11:29:08,746 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1706593859.5223699
DEBUG 2024-08-12 11:29:08,747 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\pprint.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,748 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1706593858.1208167
DEBUG 2024-08-12 11:29:08,748 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,748 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,748 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1706593858.6894898
DEBUG 2024-08-12 11:29:08,749 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\contextvars.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,749 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1706593859.5299523
